address,eth_balance
0x844ada2ed8ecd77a1a9c72912df0fcb8b8c495a7,1.5E+23
0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,1.5E+23
0x8b83b9c4683aa4ec897c569010f09c6d04608163,1.5E+23
0xb8b6fe7f357adeab950ac6c270ce340a46989ce1,1.5E+23
0xe35b0ef92452c353dbb93775e0df97cedf873c72,1.5E+23
0xb8cda067fabedd1bb6c11c626862d7255a2414fe,1.5E+23
0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,1.5E+23
0xfe01a216234f79cfc3bea7513e457c6a9e50250d,1.5E+23
0x19d599012788b991ff542f31208bab21ea38403e,1.5E+23
0xd05e6bf1a00b5b4c9df909309f19e29af792422b,1.5E+23
0x091933ee1088cdf5daace8baec0997a4e93f0dd6,1.5E+23
0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,1.5E+23
0x0518f5bb058f6215a0ff5f4df54dae832d734e04,1.5E+23
0x77afe94859163abf0b90725d69e904ea91446c7b,1.5E+23
0xca582d9655a50e6512045740deb0de3a7ee5281f,1.5E+23
0x0e86733eab26cfcc04bb1752a62ec88e910b4cf5,1.5E+23
0xba18ded5e0d604a86428282964ae0bb249ceb9d0,1.5E+23
0xb9fa6e54025b4f0829d8e1b42e8b846914659632,1.5E+23
0x7145cfedcf479bede20c0a4ba1868c93507d5786,1.5E+23
0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,1.5E+23
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,1.5E+23
0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,1.5E+23
0xeddf8eb4984cc27407a568cae1c78a1ddb0c2c1b,1.5E+23
0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,1.5E+23
0x7ae92148e79d60a0749fd6de374c8e81dfddf792,1.5E+23
0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,1.5E+23
0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,1.5E+23
0x550cd530bc893fc6d2b4df6bea587f17142ab64e,1.5E+23
0x554f4476825293d4ad20e02b54aca13956acc40a,1.5E+23
0x828103b231b39fffce028562412b3c04a4640e64,1.5E+23
0xb20411c403687d1036e05c8a7310a0f218429503,1.5E+23
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,1.5E+23
0x2fa9f9efc767650aace0422668444c3ff63e1f8d,1.48532E+23
0xd57479b8287666b44978255f1677e412d454d4f0,1.47699E+23
0x4baf012726cb5ec7dda57bc2770798a38100c44d,1.45E+23
0xfca0ea01ab1f9aaf69ec3aa4926b588aefb1a6cd,1.44335E+23
